접수년도,대학가,법정동명,행정동명,20대 인구 합계
2022,서울대,봉천동,낙성대동,5884
2022,서울대,봉천동,보라매동,4838
2022,서울대,봉천동,성현동,3699
2022,서울대,봉천동,은천동,5199
2022,서울대,봉천동,인헌동,5933
2022,서울대,봉천동,중앙동,4530
2022,서울대,봉천동,청룡동,11916
2022,서울대,봉천동,청림동,1689
2022,서울대,봉천동,행운동,7773
2022,서울대,신림동,난곡동,3867
2022,서울대,신림동,난향동,1663
2022,서울대,신림동,대학동,6185
2022,서울대,신림동,미성동,4622
2022,서울대,신림동,삼성동,2283
2022,서울대,신림동,서림동,5704
2022,서울대,신림동,서원동,6546
2022,서울대,신림동,신림동,9180
2022,서울대,신림동,신사동,6056
2022,서울대,신림동,신원동,4445
2022,서울대,신림동,조원동,4405
2022,서울시립대,답십리동,답십리1동,3905
2022,서울시립대,답십리동,답십리2동,3276
2022,서울시립대,전농동,전농1동,4435
2022,서울시립대,전농동,전농2동,2037
2022,서울시립대,청량리동,청량리동,2069
2022,서울시립대,휘경동,휘경1동,3698
2022,서울시립대,휘경동,휘경2동,5506
2022,홍익대,상수동,서강동,4864
2022,홍익대,서교동,서교동,6145
2022,홍익대,합정동,합정동,3115
2023,서울교대,서초동,서초1동,2660
2023,서울교대,서초동,서초2동,3387
2023,서울교대,서초동,서초3동,5247
2023,서울교대,서초동,서초4동,3448
2023,서울대,봉천동,낙성대동,5779
2023,서울대,봉천동,보라매동,4448
2023,서울대,봉천동,성현동,3631
2023,서울대,봉천동,은천동,5102
2023,서울대,봉천동,인헌동,5833
2023,서울대,봉천동,중앙동,4406
2023,서울대,봉천동,청룡동,11599
2023,서울대,봉천동,청림동,1619
2023,서울대,봉천동,행운동,7664
2023,서울대,신림동,난곡동,3587
2023,서울대,신림동,난향동,1624
2023,서울대,신림동,대학동,6404
2023,서울대,신림동,미성동,4343
2023,서울대,신림동,삼성동,2179
2023,서울대,신림동,서림동,5572
2023,서울대,신림동,서원동,6442
2023,서울대,신림동,신림동,8872
2023,서울대,신림동,신사동,5900
2023,서울대,신림동,신원동,4197
2023,서울대,신림동,조원동,4384
